Galaxy,Source No.,RA,Dec
,643,05 25 32.17,-69 40 55.93
,644,05 25 32.64,-69 42 51.09
,645,05 25 32.69,-69 35 59.45
,646,05 25 34.44,-69 41 31.04
,647,05 25 34.53,-69 37 04.78
,648,05 25 34.73,-69 43 31.82
,649,05 25 35.06,-69 43 41.65
,650,05 25 35.33,-69 43 12.38
,651,05 25 35.44,-69 40 00.25
,652,05 25 35.80,-69 41 49.39
,653,05 25 35.93,-69 40 54.54
,654,05 25 38.06,-69 36 00.86
,655,05 25 38.09,-69 38 43.71
,656,05 25 38.27,-69 36 45.63
,657,05 25 39.05,-69 38 46.49
,658,05 25 39.23,-69 45 16.80
,659,05 25 39.38,-69 39 26.99
,660,05 25 39.64,-69 44 57.61
,661,05 25 41.38,-69 39 52.55
,662,05 25 42.40,-69 41 05.21
,663,05 25 42.69,-69 36 43.43
,664,05 25 42.90,-69 43 13.26
,665,05 25 43.04,-69 37 25.41
,666,05 25 43.70,-69 44 32.46
,667,05 25 43.84,-69 40 43.51
,668,05 25 44.07,-69 41 32.87
,669,05 25 44.12,-69 41 22.41
,670,05 25 44.34,-69 43 36.36
,671,05 25 44.80,-69 40 34.97
,672,05 25 45.67,-69 40 38.28
,673,05 25 45.74,-69 41 51.91
,674,05 25 45.78,-69 44 21.60
,675,05 25 45.98,-69 41 01.31
,676,05 25 46.25,-69 40 15.97
,677,05 25 46.74,-69 36 45.50
,678,05 25 46.76,-69 40 33.79
,679,05 25 47.21,-69 41 36.32
,680,05 25 47.45,-69 41 43.56
,681,05 25 48.19,-69 41 05.11
,682,05 25 48.75,-69 37 32.21
,683,05 25 49.12,-69 42 22.49
,684,05 25 49.14,-69 41 26.57
,685,05 25 49.17,-69 40 30.31
,686,05 25 49.29,-69 41 32.26
,687,05 25 49.41,-69 41 05.42
,688,05 25 49.64,-69 41 17.45
,689,05 25 49.98,-69 40 39.29
,690,05 25 50.08,-69 45 20.08
,691,05 25 50.14,-69 38 05.15
,692,05 25 50.17,-69 40 46.39
,693,05 25 50.35,-69 41 51.93
